,Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Cores (threads),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0
1006,Xeon X5680,SLBV5 (B1),6,3.33 GHz,1/1/1/1/2/2,6 × 256 KB,12 MB,130 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614005124AA BX80614X5680,$1663,,,,,,,,,25×,0.75–1.35 V,,,,,,,
1007,Xeon X5690,SLBVX (B1),6,3.47 GHz,1/1/1/1/2/2,6 × 256 KB,12 MB,130 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80614005913AB BX80614X5690,$1663,,,,,,,,,26×,0.75–1.35 V,,,,,,,
1009,Xeon L5638,SLBWY (B1),6,2 GHz,1/1/2/2/3/3,6 × 256 KB,12 MB,60 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614003591AB,$958,,,,,,,,,15×,0.75–1.35 V,,,,,,,
1010,Xeon L5639[11],SLBZJ (B1),6,2.13 GHz,2/2/3/3/4/4,6 × 256 KB,12 MB,60 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80614005076AB,OEM,,,,,,,,,16×,0.75–1.35 V,,,,,,,
1011,Xeon L5640,SLBV8 (B1),6,2.27 GHz,2/2/3/3/4/4,6 × 256 KB,12 MB,60 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614005133AB BX80614L5640,$996,,,,,,,,,17×,0.75–1.35 V,,,,,,,
1012,Xeon L5645[11],SLBVW (B1),6,2.4 GHz,2/2/3/3/4/4,6 × 256 KB,12 MB,60 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80614005136AB,OEM,,,,,,,,,18×,0.75–1.35 V,,,,,,,
1014,Xeon E6510,SLBRL (D0),4,1.73 GHz,—,4× 256 KB,12 MB,105 W,LGA 1567,4 × 4.8 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004896AA,$744,,,,,,,,,13×,0.675–1.35 V,,,,,,,
1015,Xeon E7520,SLBRK (D0),4,1.87 GHz,—,4× 256 KB,18 MB,105 W,LGA 1567,4 × 4.8 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004887AA,$856,,,,,,,,,14×,0.675–1.35 V,,,,,,,
1017,Xeon E7530,SLBRJ (D0),6,1.87 GHz,2133 MHz,6× 256 KB,12 MB,105 W,LGA 1567,4 × 5.86 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004884AA,$1391,,,,,,,,,14×,0.675–1.35 V,,,,,,,
1018,Xeon E6540,SLBRC (D0),6,2 GHz,2266 MHz,6× 256 KB,18 MB,105 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604001800AB,$1712,,,,,,,,,15×,0.675–1.35 V,,,,,,,
1019,Xeon E7540,SLBRG (D0),6,2 GHz,2266 MHz,6× 256 KB,18 MB,105 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004878AA,$1980,,,,,,,,,15×,0.675–1.35 V,,,,,,,
1020,Xeon X7542,SLBRM (D0),6,2.67 GHz,2800 MHz,6× 256 KB,18 MB,130 W,LGA 1567,4 × 5.86 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604005280AA,$1980,,,,,,,,,20×,0.675–1.35 V,,,,,,,
1022,Xeon L7545,SLBRH (D0),6,1.87 GHz,2533 MHz,6× 256 KB,18 MB,95 W,LGA 1567,4 × 5.86 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004881AA,$2087,,,,,,,,,14×,0.675–1.35 V,,,,,,,
1024,Xeon X6550,SLBRB (D0),8,2 GHz,2400 MHz,8× 256 KB,18 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604001797AB,$2461,,,,,,,,,15×,0.675–1.35 V,,,,,,,
1025,Xeon X7550,SLBRE (D0),8,2 GHz,2400 MHz,8× 256 KB,18 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004872AA,$2729,,,,,,,,,15×,0.675–1.35 V,,,,,,,
1026,Xeon X7560,SLBRD (D0),8,2.27 GHz,2666 MHz,8× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004869AA,$3692,,,,,,,,,17×,0.675–1.35 V,,,,,,,
1028,Xeon L7555,SLBRF (D0),8,1.87 GHz,2533 MHz,8× 256 KB,24 MB,95 W,LGA 1567,4 × 5.86 GT/s QPI,4 × DDR3-1333,"March 30, 2010",AT80604004875AA,$3157,,,,,,,,,14×,0.675–1.35 V,,,,,,,
1030,Xeon E7-2803,SLC3M (A2),6,1.73 GHz,—,6× 256 KB,18 MB,105 W,LGA 1567,4 × 4.8 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615006438AB,$774,,,,,,,,,13×,0.6–1.35 V,,,,,,,
1031,Xeon E7-4807,SLC3L (A2),6,1.87 GHz,—,6× 256 KB,18 MB,95 W,LGA 1567,4 × 4.8 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615006432AB,$890,,,,,,,,,14×,0.6–1.35 V,,,,,,,
1033,Xeon E7-2820,SLC3R (A2),8,2 GHz,1/1/1/2,8× 256 KB,18 MB,105 W,LGA 1567,4 × 5.86 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007245AA,$1334,,,,,,,,,15×,0.6–1.35 V,,,,,,,
1034,Xeon E7-2830,SLC3J (A2),8,2.13 GHz,1/1/1/2,8× 256 KB,24 MB,105 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615005787AB,$1779,,,,,,,,,16×,0.6–1.35 V,,,,,,,
1035,Xeon E7-4820,SLC3G (A2),8,2 GHz,1/1/1/2,8× 256 KB,18 MB,105 W,LGA 1567,4 × 5.86 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615005772AC,$1446,,,,,,,,,15×,0.6–1.35 V,,,,,,,
1036,Xeon E7-4830,SLC3Q (A2),8,2.13 GHz,1/1/1/2,8× 256 KB,24 MB,105 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007089AA BX80615E74830,$2059,,,,,,,,,16×,0.6–1.35 V,,,,,,,
1037,Xeon E7-8830,SLC3K (A2),8,2.13 GHz,1/1/1/2,8× 256 KB,24 MB,105 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615005826AB,$2280,,,,,,,,,16×,0.6–1.35 V,,,,,,,
1038,Xeon E7-8837,SLC3N (A2),8,2.67 GHz,1/1/1/1,8× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615006750AB,$2280,,,,,,,,,20×,0.6–1.35 V,,,,,,,
1040,Xeon E7-2850,SLC3W (A2),10,2 GHz,1/1/2/3/3,10× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007452AA,$2558,,,,,,,,,15×,0.6–1.35 V,,,,,,,
1041,Xeon E7-2860,SLC3H (A2),10,2.27 GHz,1/1/2/3/3,10× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615005781AB,$3670,,,,,,,,,17×,0.6–1.35 V,,,,,,,
1042,Xeon E7-2870,SLC3U (A2),10,2.4 GHz,1/1/2/3/3,10× 256 KB,30 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007266AA,$4227,,,,,,,,,18×,0.6–1.35 V,,,,,,,
1043,Xeon E7-4850,SLC3V (A2),10,2 GHz,1/1/2/3/3,10× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007449AA,$2837,,,,,,,,,15×,0.6–1.35 V,,,,,,,
1044,Xeon E7-4860,SLC3S (A2),10,2.27 GHz,1/1/2/3/3,10× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007254AA,$3838,,,,,,,,,17×,0.6–1.35 V,,,,,,,
1045,Xeon E7-4870,SLC3T (A2),10,2.4 GHz,1/1/2/3/3,10× 256 KB,30 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007263AA BX80615E74870,$4394,,,,,,,,,18×,0.6–1.35 V,,,,,,,
1046,Xeon E7-8850,SLC3D (A2),10,2 GHz,1/1/2/3/3,10× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007446AA,$3059,,,,,,,,,15×,0.6–1.35 V,,,,,,,
1047,Xeon E7-8860,SLC3F (A2),10,2.27 GHz,1/1/2/3/3,10× 256 KB,24 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615005760AB,$4061,,,,,,,,,17×,0.6–1.35 V,,,,,,,
1048,Xeon E7-8870,SLC3E (A2),10,2.4 GHz,1/1/2/3/3,10× 256 KB,30 MB,130 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615005757AB,$4616,,,,,,,,,18×,0.6–1.35 V,,,,,,,
1050,Xeon E7-8867L,SLC3P (A2),10,2.13 GHz,1/1/2/3/3,10× 256 KB,30 MB,105 W,LGA 1567,4 × 6.4 GT/s QPI,4 × DDR3-1333,"April 3, 2011",AT80615007002AB,$4172,,,,,,,,,16×,0.6–1.35 V,,,,,,,
1078,Xeon 1.4,SL4WX (C1) SL56G (C1),,1400 MHz,,256 KB,,56 W,Socket 603,,,"May 21, 2001",RN80528KC017G0K,$268[1],,,,,,,,,,1.75 V,,400 MT/s,14×,,,,
1079,Xeon 1.5,SL4ZT (C1) SL5U6 (D0) SL4WY (C1) SL5TD (D0),,1500 MHz,,256 KB,,59.2 W,Socket 603,,,"May 21, 2001",RN80528KC021G0K,$309[1],,,,,,,,,,1.75 V,,400 MT/s,15×,,,,
1080,Xeon 1.7,SL56N (C1) SL5U7 (D0) SL56H (C1) SL5TE (D0),,1700 MHz,,256 KB,,65.8 W,Socket 603,,,"May 21, 2001",RN80528KC029G0K,$406[1],,,,,,,,,,1.75 V,,400 MT/s,17×,,,,
1081,Xeon 2.0,SL5U8 (D0) SL5TH (D0),,2000 MHz,,256 KB,,77.5 W,Socket 603,,,"September 25, 2001",RN80528KC041G0K,$615[2],,,,,,,,,,1.75 V,,400 MT/s,20×,,,,
1083,Xeon 1.8,SL5Z8 (B0) SL622 (B0) SL6EL (C1) SL6JX (C1) SL6W3 (D1) SL6YS (D1),,1800 MHz,,512 KB,,55 W,Socket 603,,,"February 25, 2002",RN80532KC033512 BX80532KC1800D,$251[3],,,,,,,,,,1.5 V,,400 MT/s,18×,,,,
1084,Xeon 2.0A,SL5Z9 (B0) SL623 (B0) SL6EM (C1) SL6JY (C1) SL6W6 (D1) SL6YT (D1),,2000 MHz,,512 KB,,58 W,Socket 603,,,"February 25, 2002",RN80532KC041512 BX80532KC2000D,$417[3],,,,,,,,,,1.5 V,,400 MT/s,20×,,,,
1085,Xeon 2.0B,SL6NP (C1) SL6RQ (C1) SL6VK (D1) SL6YM (D1) SL72C (M0) SL73K (M0),,2000 MHz,,512 KB,,58 W,Socket 604,,,"November 18, 2002",RK80532KE041512,$198[4],,,,,,,,,,1.5 V,,533 MT/s,15×,,,,
1086,Xeon 2.2,SL5ZA (B0) SL624 (B0) SL6EN (C1) SL6JZ (C1) SL6W7 (D1) SL6YU (D1),,2200 MHz,,512 KB,,61 W,Socket 603,,,"February 25, 2002",RN80532KC049512 BX80532KC2200D,$615[3],,,,,,,,,,1.5 V,,400 MT/s,22×,,,,
1087,Xeon 2.4,SL65T (B0) SL687 (B0) SL6EP (C1) SL6K2 (C1) SL6W8 (D1) SL6YV (D1),,2400 MHz,,512 KB,,65 W,Socket 603,,,"April 23, 2002",RN80532KC056512 BX80532KC2400D,$615[5],,,,,,,,,,1.5 V,,400 MT/s,24×,,,,
1088,Xeon 2.4B,SL6GD (C1) SL6NQ (C1) SL6VL (D1) SL6YN (D1) SL72D (M0) SL73L (M0),,2400 MHz,,512 KB,,65 W,Socket 604,,,"November 18, 2002",RK80532KE056512,$234[4],,,,,,,,,,1.5 V,,533 MT/s,18×,,,,
1089,Xeon 2.6,SL6EQ (C1) SL6K3 (C1) SL6W9 (D1) SL6YW (D1),,2600 MHz,,512 KB,,60 W,Socket 603,,,"September 11, 2002",RN80532KC064512 BX80532KC2600D,$433[6],,,,,,,,,,1.5 V,,400 MT/s,26×,,,,
1090,Xeon 2.66,SL6GF (C1) SL6NR (C1) SL6VM (D1) SL6YP (D1) SL72E (M0) SL73M (M0),,2667 MHz,,512 KB,,72/77 W,Socket 604,,,"November 18, 2002",RK80532KE067512,$337[4],,,,,,,,,,1.5 V,,533 MT/s,20×,,,,
1091,Xeon 2.8,SL6M7 (C1) SL6MS (C1) SL6WA (D1) SL6YX (D1),,2800 MHz,,512 KB,,74 W,Socket 603,,,"September 11, 2002",RN80532KC072512 BX80532KC2800D,$562[6],,,,,,,,,,1.5 V,,400 MT/s,28×,,,,
1092,Xeon 2.8B,SL6GG (C1) SL6NS (C1) SL6VN (D1) SL6YQ (D1) SL72F (M0) SL73N (M0),,2800 MHz,,512 KB,,74 W,Socket 604,,,"November 18, 2002",RK80532KE072512,$455[4],,,,,,,,,,1.5 V,,533 MT/s,21×,,,,
1093,Xeon 3.0,SL6VW (C1) SL6X4 (C1) SL6WB (D1) SL6YY (D1),,3000 MHz,,512 KB,,85 W,Socket 603,,,"March 10, 2003",RN80532KC080512,$658[7],,,,,,,,,,1.525 V,,400 MT/s,30×,,,,
1094,Xeon 3.06,SL6GH (C1) SL6RR (C1) SL6VP (D1) SL6YR (D1),,3066 MHz,,512 KB,,85 W,Socket 604,,,"March 10, 2003",RK80532KE083512,$722[7],,,,,,,,,,1.525 V,,533 MT/s,23×,,,,
1096,Xeon LV 1.6,SL6XK (D1),,1600 MHz,,512 KB,,30 W,Socket 604,,,September 2003,RK80532EC025512,,,,,,,,,,,1.187–1.274 V,,400 MT/s,16×,,,,
1097,Xeon LV 2.0,SL6XL (D1),,2000 MHz,,512 KB,,35 W,Socket 604,,,September 2003,RK80532EC041512,,,,,,,,,,,1.179–1.27 V,,400 MT/s,20x,,,,
1098,Xeon LV 2.4,SL74T (D1),,2400 MHz,,512 KB,,40 W,Socket 604,,,September 2003,RK80532EE056512,,,,,,,,,,,1.17–1.265 V,,533 MT/s,18×,,,,
1099,Xeon 2.4,SL7D4 (M0) SL7DF (M0),,2400 MHz,,512 KB,1024 KB,77 W,Socket 604,,,February 2004,RK80532KE0561M,,,,,,,,,,,1.525 V,,533 MT/s,18×,,,,
1100,Xeon 2.8,SL7D5 (M0) SL7DG (M0),,2800 MHz,,512 KB,1024 KB,77 W,Socket 604,,,February 2004,RK80532KE0721M,,,,,,,,,,,1.525 V,,533 MT/s,21×,,,,
1101,Xeon 3.06,SL72G (M0) SL73P (M0),,3066 MHz,,512 KB,1024 KB,87 W,Socket 604,,,"July 14, 2003",RK80532KE0831M,,,,,,,,,,,1.525 V,,533 MT/s,23×,$690[8],,,
1102,Xeon 3.2,SL72Y (M0) SL73Q (M0),,3200 MHz,,512 KB,1024 KB,92 W,Socket 604,,,"October 6, 2003",RK80532KE0881M,,,,,,,,,,,1.525 V,,533 MT/s,24×,$851[9],,,
1103,Xeon 3.2,SL7AE (M0)  SL7BW (M0),,3200 MHz,,512 KB,2048 KB,92 W,Socket 604,,,February 2004[10],RK80532KE0882M,,,,,,,,,,,1.525 V,,533 MT/s,24×,,,,
1105,Xeon 2.8,SL7DV (D0) SL7HF (D0) SL7TB (E0)  SL84B (E0),,2800 MHz,,1024 KB,,103 W,Socket 604,,,"June 28, 2004",NE80546KG0721M,OEM,,,,,,,,,,1.287–1.4 V,14×,800 MT/s,,,,,
1106,Xeon 2.8D,SL7PD (E0) SL8KN (G1),,2800 MHz,,1024 KB,,103 W,Socket 604,,,"June 28, 2004",B80546KG0721M,$209,,,,,,,,,,1.287–1.4 V,14×,800 MT/s,,,,,
1107,Xeon 3.0,SL7DW (D0) SL7HG (D0) SL7TC (E0),,3000 MHz,,1024 KB,,103 W,Socket 604,,,"June 28, 2004",RK80546KG0801M,OEM,,,,,,,,,,1.287–1.4 V,15×,800 MT/s,,,,,
1108,Xeon 3.0D,SL7PE (E0) SL8KP (G1),,3000 MHz,,1024 KB,,103 W,Socket 604,,,"June 28, 2004",NE80546KG0801M,$316,,,,,,,,,,1.287–1.4 V,15×,800 MT/s,,,,,
